2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:46 status half-configured openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:47 status installed openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:47 configure default-jre-headless:amd64 2:1.10-63ubuntu1~02 <none>
2018-06-01 08:38:47 status unpacked default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:47 status half-configured default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:47 status installed default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:47 configure openjdk-11-jre:amd64 10.0.1+10-3ubuntu1 <none>
2018-06-01 08:38:47 status unpacked openjdk-11-jre:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:47 status half-configured openjdk-11-jre:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:47 status installed openjdk-11-jre:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:47 configure ca-certificates-java:all 20170930ubuntu1 <none>
2018-06-01 08:38:47 status triggers-pending ca-certificates:all 20180409
2018-06-01 08:38:47 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:47 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:47 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:47 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:47 status half-configured ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:49 status triggers-awaited ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:49 configure default-jre:amd64 2:1.10-63ubuntu1~02 <none>
2018-06-01 08:38:49 status unpacked default-jre:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:49 status half-configured default-jre:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:49 status installed default-jre:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:49 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-06-01 08:38:49 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-06-01 08:38:49 status installed libc-bin:amd64 2.27-3ubuntu1
2018-06-01 08:38:49 trigproc ca-certificates:all 20180409 <none>
2018-06-01 08:38:49 status half-configured ca-certificates:all 20180409
2018-06-01 08:38:49 status installed ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:52 status installed ca-certificates:all 20180409
2018-06-01 12:16:28 startup packages remove
2018-06-01 12:16:28 status installed firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 remove firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1 <none>
2018-06-01 12:16:29 status half-configured firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 status half-installed firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 status triggers-pending hicolor-icon-theme:all 0.17-2
2018-06-01 12:16:29 status triggers-pending man-db:amd64 2.8.3-2
2018-06-01 12:16:29 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1
2018-06-01 12:16:29 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3
2018-06-01 12:16:29 status half-installed firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 status triggers-pending mime-support:all 3.60ubuntu1
2018-06-01 12:16:29 status config-files firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 status config-files firefox:amd64 60.0.1+build2-0ubuntu0.18.04.1
2018-06-01 12:16:29 startup packages configure
2018-06-01 12:16:29 trigproc mime-support:all 3.60ubuntu1 <none>
2018-06-01 12:16:29 status half-configured mime-support:all 3.60ubuntu1
2018-06-01 12:16:29 status installed mime-support:all 3.60ubuntu1
2018-06-01 12:16:29 trigproc desktop-file-utils:amd64 0.23-1ubuntu3 <none>
